Country,population,percentage_males,percentage_females,percentage_age_0_to_14,percentage_age_15_to_24,percentage_age_25_to_64,percentage_age_65_plus
China,"1,385,566,537",51.80%,48.20%,18.20%,13.60%,58.80%,9.50%
India,"1,252,139,596",51.70%,48.30%,28.40%,18.30%,47.90%,5.50%
United States of America,"320,050,716",49.20%,50.80%,19.40%,13.60%,52.30%,14.70%
Indonesia,"249,865,631",50.30%,49.70%,28.10%,16.80%,49.70%,5.40%
Brazil,"200,361,925",49.20%,50.80%,23.10%,16.50%,52.40%,8.00%
Pakistan,"182,142,594",51.40%,48.60%,32.80%,20.90%,41.90%,4.40%
Nigeria,"173,615,345",50.90%,49.10%,44.40%,18.90%,34.00%,2.70%
Bangladesh,"156,594,962",50.60%,49.40%,29.00%,19.70%,46.50%,4.90%
Russian Federation,"142,833,689",46.10%,53.90%,16.50%,11.00%,59.30%,13.20%
Japan,"127,143,577",48.70%,51.30%,12.90%,9.50%,51.20%,26.40%
Mexico,"122,332,399",48.40%,51.60%,27.40%,18.30%,47.50%,6.80%
Philippines,"98,393,574",50.10%,49.90%,33.40%,19.60%,43.00%,4.10%
Ethiopia,"94,100,756",50.00%,50.00%,41.40%,21.60%,33.40%,3.50%
Viet Nam,"91,679,733",49.40%,50.60%,22.40%,16.90%,53.90%,6.80%
Germany,"82,726,626",49.10%,50.90%,12.90%,10.30%,55.30%,21.40%
Egypt,"82,056,378",50.20%,49.80%,30.90%,17.80%,45.40%,5.90%
Iran (Islamic Republic of),"77,447,168",50.30%,49.70%,24.10%,16.00%,54.40%,5.50%
Turkey,"74,932,641",49.10%,50.90%,24.90%,16.60%,50.70%,7.70%
Democratic Republic of the Congo,"67,513,677",49.70%,50.30%,44.50%,20.00%,32.60%,2.90%
Thailand,"67,010,502",49.00%,51.00%,17.50%,13.30%,58.80%,10.40%
France,"64,291,280",48.40%,51.60%,18.10%,12.20%,51.00%,18.70%
United Kingdom,"63,136,265",49.30%,50.70%,17.60%,12.00%,52.30%,18.10%
Italy,"60,990,277",48.60%,51.40%,14.00%,9.80%,54.40%,21.70%
Myanmar,"53,259,018",48.50%,51.50%,24.20%,17.30%,53.10%,5.40%
South Africa,"52,776,130",48.50%,51.50%,29.30%,17.90%,47.10%,5.70%
Republic of Korea,"49,262,698",49.70%,50.30%,14.20%,13.50%,59.30%,13.00%
United Republic of Tanzania,"49,253,126",50.00%,50.00%,44.70%,19.20%,32.80%,3.20%
Colombia,"48,321,405",49.20%,50.80%,27.00%,17.60%,48.80%,6.60%
Spain,"46,926,963",49.40%,50.60%,15.50%,9.30%,56.90%,18.30%
Ukraine,"45,238,805",46.10%,53.90%,15.00%,10.90%,59.20%,14.90%
Kenya,"44,353,691",49.90%,50.10%,41.80%,19.30%,36.10%,2.80%
Argentina,"41,446,246",48.90%,51.10%,23.90%,16.00%,48.90%,11.20%
Algeria,"39,208,194",50.60%,49.40%,28.40%,16.60%,50.30%,4.70%
Poland,"38,216,635",48.30%,51.70%,15.10%,11.70%,57.90%,15.30%
Sudan,"37,964,306",50.20%,49.80%,40.50%,19.90%,36.30%,3.30%
Uganda,"37,578,876",50.10%,49.90%,47.90%,20.30%,29.40%,2.40%
Canada,"35,181,704",49.60%,50.40%,16.50%,12.30%,55.20%,16.00%
Iraq,"33,765,232",50.60%,49.40%,39.20%,20.00%,37.60%,3.20%
Morocco,"33,008,150",49.40%,50.60%,27.90%,17.70%,49.20%,5.10%
Afghanistan,"30,551,674",50.70%,49.30%,44.90%,21.60%,31.00%,2.50%
Venezuela (Bolivarian Republic of),"30,405,207",50.10%,49.90%,27.90%,17.50%,48.00%,6.60%
Peru,"30,375,603",50.10%,49.90%,28.00%,18.40%,46.90%,6.70%
Malaysia,"29,716,965",48.50%,51.50%,25.30%,18.50%,50.40%,5.80%
Uzbekistan,"28,934,102",49.70%,50.30%,28.10%,19.90%,47.70%,4.30%
Saudi Arabia,"28,828,870",57.50%,42.50%,28.30%,15.10%,53.60%,3.00%
Nepal,"27,797,457",48.40%,51.60%,33.00%,20.60%,41.10%,5.30%
Ghana,"25,904,598",49.60%,50.40%,38.00%,19.70%,38.80%,3.40%
Mozambique,"25,833,752",48.90%,51.10%,45.10%,19.70%,31.90%,3.30%
Dem. People s Republic of Korea,"24,895,480",48.90%,51.10%,21.20%,15.70%,53.50%,9.50%
Yemen,"24,407,381",50.40%,49.60%,39.10%,22.70%,35.20%,3.00%
Australia,"23,342,553",49.80%,50.20%,19.20%,13.00%,52.90%,15.00%
Madagascar,"22,924,851",49.80%,50.20%,41.70%,20.50%,34.90%,2.80%
Cameroon,"22,253,959",50.00%,50.00%,42.50%,20.30%,34.00%,3.20%
Syrian Arab Republic,"21,898,061",50.90%,49.10%,34.50%,19.60%,41.60%,4.30%
Romania,"21,698,585",48.70%,51.30%,15.10%,10.80%,58.60%,15.40%
Angola,"21,471,618",49.60%,50.40%,47.00%,19.60%,31.00%,2.40%
Sri Lanka,"21,273,228",48.90%,51.10%,25.10%,14.60%,51.30%,9.00%
Cote d Ivoire,"20,316,086",51.00%,49.00%,41.00%,20.10%,35.70%,3.20%
Niger,"17,831,270",50.40%,49.60%,50.10%,18.00%,29.30%,2.60%
Chile,"17,619,708",49.50%,50.50%,20.60%,15.80%,53.10%,10.60%
Burkina Faso,"16,934,839",49.70%,50.30%,45.00%,20.10%,32.40%,2.40%
Netherlands,"16,759,229",49.60%,50.40%,16.80%,12.00%,53.10%,18.10%
Kazakhstan,"16,440,586",48.10%,51.90%,26.40%,15.00%,51.80%,6.80%
Malawi,"16,362,567",50.10%,49.90%,44.80%,20.70%,31.30%,3.30%
Ecuador,"15,737,878",50.00%,50.00%,29.30%,17.90%,46.00%,6.80%
Guatemala,"15,468,203",48.80%,51.20%,39.70%,20.50%,35.20%,4.70%
Mali,"15,301,650",50.40%,49.60%,47.50%,19.10%,30.70%,2.70%
Cambodia,"15,135,169",48.80%,51.20%,31.00%,18.90%,44.40%,5.60%
Zambia,"14,538,640",49.90%,50.10%,46.30%,19.80%,31.30%,2.60%
Zimbabwe,"14,149,648",49.40%,50.60%,38.50%,22.20%,35.50%,3.80%
Senegal,"14,133,280",49.00%,51.00%,43.30%,19.80%,33.90%,2.90%
Chad,"12,825,314",50.10%,49.90%,47.90%,20.20%,29.50%,2.40%
Rwanda,"11,776,522",48.80%,51.20%,41.50%,20.50%,35.50%,2.50%
Guinea,"11,745,189",50.10%,49.90%,41.80%,20.00%,35.10%,3.10%
South Sudan,"11,296,173",50.00%,50.00%,41.50%,20.50%,34.60%,3.50%
Cuba,"11,265,629",50.30%,49.70%,15.60%,12.90%,57.50%,14.00%
Greece,"11,127,990",49.30%,50.70%,14.70%,9.80%,55.30%,20.20%
Belgium,"11,104,476",49.10%,50.90%,17.20%,11.50%,52.70%,18.60%
Tunisia,"10,996,515",49.60%,50.40%,23.20%,15.80%,53.60%,7.50%
Czech Republic,"10,702,197",49.20%,50.80%,15.40%,10.40%,56.60%,17.60%
Bolivia (Plurinational State of),"10,671,200",49.90%,50.10%,34.10%,20.10%,40.70%,5.10%
Portugal,"10,608,156",48.40%,51.60%,14.40%,10.40%,55.80%,19.40%
Somalia,"10,495,583",49.70%,50.30%,46.70%,19.90%,30.60%,2.80%
Dominican Republic,"10,403,761",50.00%,50.00%,29.60%,18.10%,45.70%,6.60%
Benin,"10,323,474",49.80%,50.20%,42.20%,20.00%,35.00%,2.90%
Haiti,"10,317,461",49.40%,50.60%,34.20%,20.20%,41.00%,4.60%
Burundi,"10,162,532",49.40%,50.60%,44.90%,19.30%,33.40%,2.40%
Hungary,"9,954,941",47.50%,52.50%,14.80%,11.30%,56.30%,17.60%
Sweden,"9,571,105",49.80%,50.20%,17.30%,12.20%,50.50%,20.00%
Serbia,"9,510,506",48.90%,51.10%,15.90%,12.80%,56.30%,15.00%
Azerbaijan,"9,413,420",49.70%,50.30%,22.20%,17.00%,55.20%,5.60%
Belarus,"9,356,678",46.40%,53.60%,15.80%,11.40%,59.00%,13.80%
United Arab Emirates,"9,346,129",70.10%,29.90%,16.10%,12.10%,71.20%,0.50%
Austria,"8,495,145",48.80%,51.20%,14.40%,11.70%,55.20%,18.70%
Tajikistan,"8,207,834",50.20%,49.80%,36.10%,19.80%,41.00%,3.20%
Honduras,"8,097,688",50.00%,50.00%,34.30%,20.80%,40.30%,4.60%
Switzerland,"8,077,833",49.30%,50.70%,14.70%,11.40%,55.70%,18.20%
Israel,"7,733,144",49.50%,50.50%,28.00%,14.90%,46.30%,10.90%
Papua New Guinea,"7,321,262",51.00%,49.00%,37.20%,19.80%,40.00%,3.00%
Jordan,"7,273,799",51.00%,49.00%,33.40%,18.50%,44.40%,3.60%
Bulgaria,"7,222,943",48.60%,51.40%,14.00%,9.80%,56.40%,19.90%
"China, Hong Kong SAR","7,203,836",46.80%,53.20%,11.70%,11.30%,62.00%,15.00%
Togo,"6,816,982",49.30%,50.70%,41.60%,19.70%,36.00%,2.70%
Paraguay,"6,802,295",50.40%,49.60%,31.80%,19.40%,43.10%,5.70%
Lao People s Democratic Republic,"6,769,727",49.80%,50.20%,34.40%,22.20%,39.50%,3.90%
El Salvador,"6,340,454",47.40%,52.60%,28.90%,21.70%,42.10%,7.30%
Eritrea,"6,333,135",49.90%,50.10%,43.00%,19.10%,35.60%,2.30%
Libya,"6,201,521",50.00%,50.00%,29.40%,16.80%,48.80%,5.00%
Sierra Leone,"6,092,075",49.70%,50.30%,40.90%,19.80%,36.70%,2.70%
Nicaragua,"6,080,478",49.50%,50.50%,31.90%,20.60%,42.70%,4.80%
Denmark,"5,619,096",49.60%,50.40%,17.30%,12.70%,51.40%,18.60%
Kyrgyzstan,"5,547,548",49.30%,50.70%,30.90%,18.80%,46.20%,4.10%
Slovakia,"5,450,223",48.60%,51.40%,15.20%,11.90%,59.30%,13.60%
Finland,"5,426,323",49.10%,50.90%,16.50%,11.80%,51.30%,20.40%
Singapore,"5,411,737",49.40%,50.60%,15.30%,14.20%,59.30%,11.20%
Turkmenistan,"5,240,072",49.20%,50.80%,28.20%,19.00%,48.60%,4.20%
Norway,"5,042,671",50.10%,49.90%,18.60%,13.00%,52.00%,16.40%
Costa Rica,"4,872,166",50.80%,49.20%,22.70%,17.10%,52.70%,7.50%
Lebanon,"4,821,971",50.80%,49.20%,19.40%,19.00%,52.70%,8.80%
Ireland,"4,627,173",49.60%,50.40%,21.60%,12.30%,53.50%,12.60%
Central African Republic,"4,616,417",49.20%,50.80%,39.20%,20.40%,36.60%,3.80%
New Zealand,"4,505,761",49.10%,50.90%,20.10%,13.70%,51.60%,14.70%
Congo,"4,447,632",50.00%,50.00%,42.50%,18.70%,35.40%,3.40%
Georgia,"4,340,895",47.10%,52.90%,18.50%,12.60%,54.20%,14.70%
State of Palestine,"4,326,295",50.80%,49.20%,39.00%,22.30%,35.60%,3.10%
Liberia,"4,294,077",50.40%,49.60%,42.30%,19.30%,35.40%,3.00%
Croatia,"4,289,714",48.20%,51.80%,14.60%,11.30%,55.10%,19.00%
Mauritania,"3,889,880",50.40%,49.60%,39.70%,19.40%,37.70%,3.20%
Panama,"3,864,170",50.50%,49.50%,27.60%,17.00%,47.90%,7.60%
Bosnia and Herzegovina,"3,829,307",48.80%,51.20%,14.70%,14.40%,55.00%,15.90%
Puerto Rico,"3,688,318",48.10%,51.90%,18.90%,15.10%,51.60%,14.50%
Oman,"3,632,444",63.60%,36.40%,21.90%,19.90%,55.10%,3.00%
Republic of Moldova,"3,487,204",47.40%,52.60%,16.90%,13.40%,58.00%,11.70%
Uruguay,"3,407,062",48.30%,51.70%,21.50%,15.20%,49.10%,14.30%
Kuwait,"3,368,572",59.80%,40.20%,24.60%,14.30%,58.70%,2.40%
Albania,"3,173,271",50.10%,49.90%,19.50%,18.20%,51.00%,11.30%
Lithuania,"3,016,933",46.00%,54.00%,15.40%,12.50%,56.40%,15.70%
Armenia,"2,976,566",51.40%,48.60%,20.20%,14.60%,54.70%,10.40%
Mongolia,"2,839,073",49.50%,50.50%,27.70%,17.10%,51.40%,3.80%
Jamaica,"2,783,888",49.20%,50.80%,26.00%,19.20%,46.70%,8.10%
Namibia,"2,303,315",48.50%,51.50%,35.00%,21.60%,39.70%,3.60%
Qatar,"2,168,673",76.50%,23.50%,13.60%,12.30%,73.20%,0.90%
TFYR Macedonia,"2,107,158",50.10%,49.90%,16.40%,13.70%,57.00%,12.90%
Lesotho,"2,074,465",49.30%,50.70%,35.60%,23.00%,37.20%,4.20%
Slovenia,"2,071,997",49.70%,50.30%,14.50%,9.80%,57.90%,17.90%
Latvia,"2,050,317",45.70%,54.30%,15.50%,10.70%,55.20%,18.60%
Botswana,"2,021,144",50.30%,49.70%,33.00%,21.60%,41.60%,3.80%
Gambia,"1,849,285",49.50%,50.50%,45.70%,19.70%,32.30%,2.30%
Guinea-Bissau,"1,704,255",49.70%,50.30%,41.00%,19.80%,36.20%,3.00%
Gabon,"1,671,711",50.30%,49.70%,38.30%,19.20%,37.40%,5.00%
Trinidad and Tobago,"1,341,151",49.40%,50.60%,20.80%,13.00%,56.60%,9.60%
Bahrain,"1,332,171",62.20%,37.80%,21.60%,14.20%,62.00%,2.30%
Estonia,"1,287,251",46.40%,53.60%,16.10%,10.60%,54.80%,18.40%
Swaziland,"1,249,514",49.30%,50.70%,37.30%,23.10%,36.00%,3.60%
Mauritius,"1,244,403",49.40%,50.60%,18.90%,15.50%,56.00%,9.50%
Cyprus,"1,141,166",51.10%,48.90%,16.60%,14.90%,55.70%,12.80%
Timor-Leste,"1,132,879",50.80%,49.20%,44.80%,24.30%,27.50%,3.40%
Fiji,"881,065",50.90%,49.10%,28.70%,17.20%,48.20%,5.80%
Réunion,"875,375",49.00%,51.00%,24.70%,15.30%,51.00%,9.00%
Djibouti,"872,932",50.20%,49.80%,33.60%,19.70%,42.60%,4.10%
Guyana,"799,613",50.80%,49.20%,34.50%,18.70%,43.20%,3.60%
Equatorial Guinea,"757,014",51.20%,48.80%,38.50%,19.00%,39.70%,2.80%
Bhutan,"753,947",53.70%,46.30%,27.10%,19.40%,48.50%,5.00%
Comoros,"734,917",50.40%,49.60%,41.70%,18.40%,37.10%,2.80%
Montenegro,"621,383",49.40%,50.60%,18.30%,13.90%,54.10%,13.70%
Western Sahara,"567,315",52.60%,47.40%,26.10%,16.30%,54.80%,2.80%
China Macao SAR,"566,375",48.10%,51.90%,12.50%,12.90%,65.60%,9.00%
Solomon Islands,"561,231",50.80%,49.20%,39.60%,19.70%,37.30%,3.40%
Suriname,"539,276",50.10%,49.90%,26.40%,16.80%,49.90%,6.80%
Luxembourg,"530,380",49.80%,50.20%,17.30%,12.80%,55.50%,14.40%
Cape Verde,"498,897",49.80%,50.20%,28.20%,21.40%,45.10%,5.30%
Guadeloupe,"465,800",47.10%,52.90%,20.90%,13.50%,51.40%,14.10%
Malta,"429,004",50.00%,50.00%,14.20%,12.50%,55.70%,17.70%
Brunei Darussalam,"417,784",50.70%,49.30%,24.40%,16.30%,54.40%,4.90%
Martinique,"403,682",46.00%,54.00%,17.90%,13.60%,51.40%,17.10%
Bahamas,"377,374",48.90%,51.10%,20.90%,16.70%,54.20%,8.30%
Maldives,"345,023",50.40%,49.60%,28.20%,19.70%,47.20%,4.90%
Belize,"331,900",50.00%,50.00%,32.90%,19.70%,43.40%,4.10%
Iceland,"329,535",50.30%,49.70%,20.60%,13.80%,52.20%,13.40%
Barbados,"284,644",49.90%,50.10%,18.70%,13.70%,56.30%,11.30%
French Polynesia,"276,831",51.10%,48.90%,22.10%,17.20%,53.20%,7.60%
New Caledonia,"256,496",50.60%,49.40%,22.20%,16.00%,51.60%,10.20%
Vanuatu,"252,763",50.70%,49.30%,36.10%,18.80%,41.10%,4.00%
French Guiana,"249,227",50.00%,50.00%,31.50%,18.00%,45.30%,5.10%
Mayotte,"222,152",50.00%,50.00%,43.70%,17.50%,36.30%,2.50%
Sao Tome and Principe,"192,993",49.40%,50.60%,41.40%,18.60%,36.80%,3.20%
Samoa,"190,372",51.60%,48.40%,37.30%,19.40%,38.00%,5.20%
Saint Lucia,"182,273",49.10%,50.90%,23.10%,17.50%,50.40%,9.00%
Guam,"165,124",50.70%,49.30%,25.50%,17.00%,48.80%,8.70%
Channel Islands,"162,018",49.50%,50.50%,14.70%,11.30%,56.70%,17.20%
Curaçao,"158,760",45.30%,54.70%,19.10%,12.50%,53.70%,14.70%
Saint Vincent and the Grenadines,"109,373",50.50%,49.50%,24.50%,17.60%,50.50%,7.30%
United States Virgin Islands,"106,627",47.70%,52.30%,20.80%,12.90%,48.70%,17.50%
Grenada,"105,897",50.10%,49.90%,26.50%,18.80%,47.60%,7.10%
Tonga,"105,323",50.10%,49.90%,36.80%,19.90%,37.40%,5.90%
Micronesia (Fed. States of),"103,549",51.20%,48.80%,34.10%,23.80%,37.80%,4.40%
Aruba,"102,911",47.60%,52.40%,18.30%,14.30%,55.10%,12.20%
Kiribati,"102,351",49.70%,50.30%,30.90%,21.00%,43.80%,4.30%
Seychelles,"92,838",50.90%,49.10%,22.20%,14.80%,55.20%,7.80%
Antigua and Barbuda,"89,985",47.80%,52.20%,24.20%,17.10%,51.60%,7.20%
WORLD,"7,162,119,434",50.40%,49.60%,26.00%,16.30%,49.50%,8.20%
